filename,drug,brand_name,indication,therapy_area,recommendation,listing_type,comparator,icer_low,icer_high,icer_note,risk_sharing,risk_sharing_note,population_per_year,key_trials,resubmission,pbac_year,pbac_month,extraction_ok,error_note
aciclovir-psd-mar-2021.pdf,aciclovir,Xorox,Treatment of Herpes simplex keratitis (HSK). Eye ointment formulation for restricted benefit listing as an alternative to the currently listed AciVision product.,Infectious disease,Recommended with restriction,Restricted,"AciVision (aciclovir 3% eye ointment, Section 19A approved product)",,,No ICER calculated; economic evaluation based on price comparison and market-share approach rather than cost-effectiveness analysis,no,,25000,,no,2021,3,yes,
aclidinium-psd-03-2014.pdf,aclidinium bromide,Bretaris Genuair,Long-term maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,Respiratory,Recommended with restriction,Restricted,tiotropium,,,Cost-minimisation basis; no ICER calculated,no,,,"LAS-39, ACCORD, ATTAIN, ACCORD II",no,2014,3,yes,
aclidinium-with-eformoterol-psd-july-2015.pdf,aclidinium bromide plus eformoterol fumarate dihydrate,Brimica® Genuair®,Treatment of chronic obstructive pulmonary disease (COPD) in patients stabilised on a combination of a long acting muscarinic antagonist and long acting beta-2 agonist.,Respiratory,Recommended with restriction,Authority Required,glycopyrronium/indacaterol FDC and umeclidinium/vilanterol FDC,,,Cost-minimisation analysis conducted; no ICER range provided,no,,,"ACLIFORM, AUGMENT, SHINE, ENLIGHTEN, Donohue (2013)",no,2015,7,yes,
adalimumab-amgevita-psd-july-2018.pdf,adalimumab,Amgevita,"Multiple indications including severe active rheumatoid arthritis, severe psoriatic arthritis, ankylosing spondylitis, severe chronic plaque psoriasis, juvenile idiopathic arthritis, severe Crohn disease, refractory fistulising Crohn disease, moderate to severe ulcerative colitis, and moderate to severe hidradenitis suppurativa.",Immunology,Recommended with restriction,Authority Required,Humira (reference adalimumab brand),,,Not applicable — biosimilar submission comparing to reference brand; no economic evaluation ICER presented,no,,,"Study 262 (ABP 501), additional trials referenced but truncated in document",no,2018,7,yes,
adalimumab-hadlima-psd-july-2018.pdf,adalimumab,Hadlima®,Rheumatoid arthritis. Biosimilar listing of adalimumab (Hadlima®) for the indication for which the reference biological (Humira®) is currently PBS listed.,Immunology,Recommended with restriction,Authority Required,Humira® (reference biological),,,Not applicable — biosimilar submission; economic modelling not required for brand equivalence assessment,no,,,"Phase 3 randomised, double-blind, parallel group, multicentre clinical trial in moderate to severe rheumatoid arthritis",no,2018,7,yes,
adalimumab-hadlima-psd-nov-2020.pdf,adalimumab,Hadlima,"Multiple indications including severe active rheumatoid arthritis, ankylosing spondylitis, psoriatic arthritis, severe chronic plaque psoriasis, severe Crohn disease, moderate to severe ulcerative colitis, and severe active juvenile idiopathic arthritis. This is a biosimilar to the reference brand Humira.",Immunology,Noted,Restricted,,,,Not a health economic assessment; minor submission for additional uptake drivers to existing biosimilar listing,no,,,,yes,2020,11,yes,
adalimumab-hulio-psd-nov-2021.pdf,adalimumab,Hulio,"Multiple indications including severe Crohn disease, moderate to severe ulcerative colitis, severe active juvenile idiopathic arthritis, complex refractory fistulising Crohn's disease, severe active rheumatoid arthritis, severe psoriatic arthritis, ankylosing spondylitis, severe chronic plaque psoriasis, and moderate to severe hidradenitis suppurativa.",Immunology,Recommended with restriction,Authority Required,Humira (reference brand adalimumab),,,No economic analysis presented; Category 3 submission with cost-minimisation to reference brand Humira,no,,,"FKB327-001, FKB327-002, FKB327-003, FKB321-005",no,2021,11,yes,
adalimumab-humira-psd-july-2018-corrigendum.pdf,adalimumab,Humira®,"Multiple indications including severe Crohn's disease, moderate to severe ulcerative colitis, severe active juvenile idiopathic arthritis, fistulising Crohn's disease, moderate to severe hidradenitis suppurativa, and chronic severe plaque psoriasis",Immunology,Recommended with restriction,Authority Required,adalimumab 20 mg/0.4 mL and 40 mg/0.8 mL pre-filled syringes (currently PBS-listed),,,No economic analysis presented; minor submission with no new clinical or economic data,no,,,,no,,,yes,
adalimumab-humira-psd-nov-2021.pdf,adalimumab,Humira,Induction dose for patients weighing less than 40 kg with moderate to severe ulcerative colitis or severe Crohn disease.,Immunology,Recommended with restriction,Authority Required,two adalimumab 40 mg injections via pre-filled syringe,,,Category 4 submission; no economic comparison presented. Cost-neutral with existing adalimumab 40 mg listings.,no,,,,no,2021,11,yes,
adalimumab-idacio-psd-nov-2020.pdf,adalimumab,Idacio,"Multiple indications including severe Crohn disease, moderate to severe ulcerative colitis, severe active juvenile idiopathic arthritis, complex refractory fistulising Crohn disease, severe active rheumatoid arthritis, severe psoriatic arthritis, ankylosing spondylitis, severe chronic plaque psoriasis, and moderate to severe hidradenitis suppurativa.",Immunology,Recommended with restriction,Authority Required,Humira (reference brand adalimumab),,,Cost-minimisation basis requested; no ICER calculated as biosimilar comparison to reference brand,no,,,"EMR200588-001, EMR200588-002",no,2020,11,yes,
adalimumab-psd-03-2013.pdf,adalimumab,Humira,Treatment of moderate to severe chronic plaque psoriasis in adult patients with PASI or DLQI >10 but PASI ≤15 who have failed to respond to at least two non-biologic systemic therapies.,Other,Recommended with restriction,Authority Required,placebo,,,,no,,,"M02-528, REVEAL, CHAMPION",yes,2013,3,yes,
adalimumab-psd-07-2014.pdf,adalimumab,Humira,Treatment of moderately to severely active ulcerative colitis in adult patients who have had an inadequate response to conventional therapy or are intolerant to or have contraindications for such therapies.,Immunology,Recommended with restriction,Authority Required,best supportive care,,,ICER values redacted in document; cost-effectiveness estimation was a key issue in previous rejection,no,,,"ULTRA I (M06-826), ULTRA II (M06-827), Suzuki 2014",yes,2014,7,yes,
adalimumab-psd-11-2013.pdf,adalimumab,Humira,Treatment of moderate to severe active ulcerative colitis in adult patients who have had inadequate response to conventional therapy or are intolerant to or have medical contraindications for such therapies.,Immunology,Recommended with restriction,Authority Required,"standard care including corticosteroids, 5-ASA and immunosuppressants",,,ICER values not stated in provided document excerpt,no,,,"M06-827, M06-826",no,2013,11,yes,
adalimumab-psd-11-2014.pdf,adalimumab,Humira®,Treatment of severe refractory Crohn's disease in paediatric patients aged 6 to 17 years.,Immunology,Recommended with restriction,Restricted,infliximab,,,Cost minimisation analysis performed; economic evaluation details redacted,no,,,,no,2014,11,yes,
adalimumab-psd-12-2017.pdf,adalimumab,Humira,"Multiple PBS-listed indications including severe Crohn's disease, moderate to severe ulcerative colitis, severe active juvenile idiopathic arthritis, complex refractory fistulising Crohn's disease, severe active rheumatoid arthritis, severe psoriatic arthritis, active ankylosing spondylitis, severe chronic plaque psoriasis, and moderate to severe hidradenitis suppurativa.",Immunology,Recommended with restriction,Restricted,adalimumab 40 mg/0.8 mL,,,Not applicable — formulation comparison with identical active ingredient and dose; no economic analysis conducted.,no,,,"M13-390, M13-692, M12-783, M11-964",no,2017,12,yes,
adalimumab-psd-jul-2015.pdf,adalimumab,Humira®,"Treatment of moderate to severe ulcerative colitis (UC) after failure of conventional agents (5-aminosalicylic acid compounds, corticosteroids, and immunomodulators).",Immunology,Not recommended,Authority Required,infliximab,,,"Cost-minimisation analysis versus infliximab; previous submission included ICER of $15,000–$45,000/QALY which PBAC considered underestimated true cost.",yes,Sponsor willing to enter into a Risk Sharing Arrangement (RSA); specific terms not proposed.,,"ULTRA 1, ULTRA 2, M10-223, Suzuki (2014), ACT 1, ACT 2, Probert (2003), GEMINI I",yes,2015,7,yes,
adalimumab-psd-july-2016.pdf,adalimumab,Humira,Initial treatment of moderate-to-severe hidradenitis suppurativa in patients who have failed adequate antibiotic therapy or have documented intolerance to antibiotics.,Immunology,Recommended with restriction,Authority Required,,,,ICER information redacted or not provided in document,no,,,,yes,2016,7,yes,
adalimumab-psd-july-2017.pdf,adalimumab,Humira,Same indications as currently listed forms of adalimumab (cartridge and syringe forms); new 40 mg vial presentation as alternative delivery form,Immunology,Recommended,Restricted,,,,Cost-minimisation basis; no ICER calculated,yes,"Same special pricing arrangements as currently listed forms requested; however, moving to F2 formulary means special pricing arrangements are not usually applied",,,no,2017,7,yes,
adalimumab-psd-july-2020.pdf,adalimumab,Hadlima,"Biosimilar adalimumab for the remaining indications for which Humira is currently listed on the PBS, including severe Crohn disease, complex refractory fistulising Crohn disease, moderate to severe ulcerative colitis, moderate to severe hidradenitis suppurativa, severe active juvenile idiopathic arthritis, severe psoriatic arthritis, ankylosing spondylitis, and severe chronic plaque psoriasis.",Immunology,Recommended,Restricted,Humira (adalimumab reference biologic),,,Cost-minimisation basis; no ICER calculated as biosimilar not expected to provide substantial clinically relevant improvement,no,,,,no,2020,7,yes,
adalimumab-psd-july-2021.pdf,adalimumab,Abrilada,"Multiple indications including severe Crohn disease, moderate to severe ulcerative colitis, severe active juvenile idiopathic arthritis, complex refractory fistulising Crohn disease, severe active rheumatoid arthritis, severe psoriatic arthritis, ankylosing spondylitis, severe chronic plaque psoriasis, and moderate to severe hidradenitis suppurativa.",Immunology,Recommended with restriction,Authority Required,Humira (reference brand adalimumab),,,Cost-minimisation basis; no ICER calculated as biosimilar to reference product,no,,,"B5381002, B5381001, B5381005, B5381007",no,2021,7,yes,
adalimumab-psd-july-2022.pdf,adalimumab,Yuflyma,"Biosimilar to Humira for treatment of multiple indications including severe Crohn disease, moderate to severe ulcerative colitis, severe active rheumatoid arthritis, severe psoriatic arthritis, ankylosing spondylitis, and other inflammatory conditions.",Immunology,Recommended with restriction,Authority Required,Humira (reference biologic adalimumab),,,No economic analysis presented; Category 3 submission. Cost-neutral to government as Yuflyma expected to substitute for Humira or other biosimilar brands.,no,,,"CT-P17 3.1, CT-P17 3.2",no,2022,7,yes,
adalimumab-psd-july-2023.pdf,adalimumab,Ardalicip,"Same indications as reference biologic Humira, including severe Crohn disease, psoriasis, rheumatoid arthritis, and other inflammatory conditions.",Immunology,Recommended with restriction,Restricted,Humira (reference brand adalimumab),,,Category 3 submission (biosimilar); no new economic evaluation undertaken,no,,,"AVT02-GL-100, AVT02-GL-101, AVT02-GL-301, AVT02-GL-102, AVT02-GL-303",no,2023,7,yes,
adalimumab-psd-july-2024.pdf,adalimumab,Hyrimoz,"Multiple indications including severe Crohn disease, moderate to severe ulcerative colitis, severe active juvenile idiopathic arthritis, complex refractory fistulising Crohn disease, severe active rheumatoid arthritis, severe psoriatic arthritis, ankylosing spondylitis, severe chronic plaque psoriasis, moderate to severe hidradenitis suppurativa, and vision-threatening non-infectious uveitis.",Immunology,Recommended with restriction,Restricted,Humira (adalimumab reference brand),,,Not applicable — biosimilar submission; economic evaluation based on therapeutic equivalence to reference biologic,no,,,,no,2024,7,yes,
adalimumab-psd-march-2016.pdf,adalimumab,Humira®,Initial treatment of moderate-to-severe Hidradenitis Suppurativa (HS) in adult patients with inadequate response to conventional HS therapy.,Immunology,Recommended with restriction,Authority Required,best supportive care,,,ICER not stated in provided text,no,,,"M10-467, PIONEER I, PIONEER II",no,2016,3,yes,
adalimumab-psd-march-2017.pdf,adalimumab,Humira,"Non-infectious intermediate, posterior or panuveitis that is vision threatening. Treatment of patients who have failed corticosteroid therapy combined with immunosuppressive agents, or who have severe vision-threatening ocular inflammation requiring rapid control.",Ophthalmology,Recommended with restriction,Authority Required,,,,ICER not stated in document; prices redacted,no,,,,no,2017,3,yes,
adalimumab-psd-march-2020.pdf,adalimumab,Hyrimoz,"Multiple indications including severe Crohn disease, moderate to severe ulcerative colitis, severe active juvenile idiopathic arthritis, severe active rheumatoid arthritis, severe psoriatic arthritis, ankylosing spondylitis, severe chronic plaque psoriasis, and moderate to severe hidradenitis suppurativa.",Immunology,Recommended with restriction,Authority Required,Humira (adalimumab reference brand),,,No ICER calculated — this is a minor submission for a biosimilar with established clinical equivalence.,no,,,"GP17-101, GP17-102, GP17-103, GP17-104, GP17-301",no,2020,3,yes,
adalimumab-psd-march-2024-psd-july-2025.pdf,adalimumab,Humira,"Treatment of immune-mediated inflammatory disease (IMID) in paediatric patients, including juvenile idiopathic arthritis, Crohn disease, psoriasis, ulcerative colitis, and hidradenitis suppurativa.",Immunology,Noted,Authority Required,,,,,no,,,,yes,2025,7,yes,
adalimumab-psd-nov-2023.pdf,adalimumab,Hadlima,"Multiple indications including ankylosing spondylitis, Crohn disease, ulcerative colitis, hidradenitis suppurativa, juvenile idiopathic arthritis, rheumatoid arthritis, psoriasis, and psoriatic arthritis",Immunology,Recommended with restriction,Authority Required,Humira (adalimumab reference brand),,,No economic analysis presented; Category 4 submission (biosimilar); cost-minimisation approach applied,no,,,SB5-1003,no,2023,11,yes,
adalimumab-psd-november-2015.pdf,adalimumab,Humira,"Treatment of patients with moderate to severe ulcerative colitis (UC) who have failed adequate response to or are intolerant of 5-aminosalicylates, immunosuppressants (azathioprine or 6-mercaptopurine), or oral corticosteroids.",Immunology,Recommended with restriction,Authority Required,,,,Pricing information redacted in document,no,,,,yes,2015,11,yes,
adalimumab-psd-november-2016.pdf,adalimumab,Humira®,Moderate to severe hidradenitis suppurativa (HS) in adult patients with inadequate response to conventional systemic therapy.,Immunology,Recommended with restriction,Authority Required,best supportive care,,,ICER redacted in document,no,,,"PIONEER I, PIONEER II",yes,2016,11,yes,
adalimumab-psd-november-2019.docx.pdf,adalimumab,Humira®,Treatment of moderate to severe hidradenitis suppurativa (HS) in adults. The 80 mg strength allows for fortnightly maintenance dosing following induction treatment.,Immunology,Recommended with restriction,Authority Required,adalimumab 40 mg weekly,,,Not stated in document excerpt; commercially sensitive pricing arrangements indicated,yes,Risk Sharing Arrangement (RSA) in the form of a subsidisation cap with rebates for expenditure over the cap,,,no,,,yes,
adalimumab-uc-psd-march-2016.pdf,adalimumab,Humira,Treatment of patients with moderate to severe ulcerative colitis (UC). The submission sought Section 85 Authority required listing for induction and maintenance therapy.,Immunology,Not recommended,Authority Required,infliximab,,,No economic evaluation presented; cost-minimisation analysis was not accepted by PBAC in previous submissions,no,,,"ULTRA 1, ULTRA 2, Suzuki (2014), ACT 1, ACT 2, Probert (2003), GEMINI I",yes,2016,3,yes,
adalimumab-upadacitinib-psd-11-2022.pdf,"adalimumab, upadacitinib","Humira, Rinvoq","Rheumatoid arthritis, ankylosing spondylitis, psoriatic arthritis, hidradenitis suppurativa, chronic plaque psoriasis, ulcerative colitis, Crohn's disease, and fistulising Crohn's disease (adalimumab); rheumatoid arthritis (upadacitinib).",Immunology,Noted,Authority Required,,,,Not an economic evaluation; restriction level change submission only.,no,,,,no,2022,11,yes,
