filename,drug,brand_name,indication,therapy_area,recommendation,listing_type,comparator,icer_low,icer_high,icer_note,risk_sharing,risk_sharing_note,population_per_year,key_trials,resubmission,budget_impact_aud,rejection_reasons,patient_advocacy,pico_population,evidence_type,line_of_therapy,trial_size,primary_endpoint,economic_model,pbac_year,pbac_month,extraction_ok,error_note
abemaciclib-psd-nov-2023.pdf,abemaciclib,Verzenio®,"Adjuvant treatment of hormone receptor positive, HER2-negative, lymph node-positive, invasive, resected early breast cancer at high risk of recurrence, in combination with standard endocrine therapy.",Oncology,Recommended with restriction,Authority Required,Standard adjuvant endocrine therapy alone,,,"ICER values redacted/commercially sensitive in PSD; PBAC previously noted ICER up to $30,000/QALY gained would account for uncertainty regarding modelled OS",yes,Risk-sharing arrangement with annual subsidisation caps and rebate for use exceeding financial caps,,monarchE,yes,,,no,"Adult patients with hormone receptor positive, HER2-negative, lymph node-positive, invasive, resected early breast cancer at high risk of recurrence",RCT,First-line,,IDFS,CUA,2023,11,yes,
abiraterone%20and%20methylprednisolone-psd-july-2023.pdf,abiraterone acetate,Yonsa Mpred®,"Metastatic castration-sensitive prostate cancer (mHSPC) in combination with androgen deprivation therapy, initiated within 6 months of ADT commencement.",Oncology,Recommended with restriction,Authority Required,apalutamide,,,Cost-minimisation approach used; no ICER calculated,yes,Sponsor expected to join the same risk sharing arrangement as apalutamide upon listing,,,no,,,no,Patients with newly diagnosed metastatic castration-sensitive prostate cancer receiving concurrent androgen deprivation therapy,RCT,First-line,,OS,Cost-minimisation,2023,7,yes,
abiraterone-acetate-and-prednisolone-psd-july-2025.pdf,abiraterone acetate and prednisolone,Andriga-10,Treatment of patients with metastatic castration resistant prostate cancer (mCRPC) who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy or who have received prior chemotherapy containing a taxane.,Oncology,Recommended with restriction,Authority Required,abiraterone acetate 500 mg tablets (Zytiga) and prednisolone 5 mg tablets used concomitantly,,,Cost-minimisation approach used; no ICER calculated,no,,,,no,,,no,"Patients with metastatic castration resistant prostate cancer (mCRPC) who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy or who have received prior chemotherapy containing a taxane, with WHO performance status of 2 or less.",Cost-minimisation,Later-line,,Cost-minimisation,Cost-minimisation,2025,7,yes,
abiraterone-and-enzalutamide-psd-july-2021.pdf,"abiraterone, enzalutamide","Zytiga, Xtandi",Amendment to existing PBS listings for castration-resistant prostate cancer (CRPC) to remove the requirement for metastatic disease. Consideration of broadening use to non-metastatic CRPC (m0CRPC).,Oncology,Not recommended,Restricted,,,,"Not applicable — this was a listing amendment review, not a new drug economic evaluation.",no,,,,no,,"Abiraterone not TGA approved for non-metastatic disease; longer-term safety concerns with prednisone if used earlier in disease algorithm; no clinical trial evidence in low-risk m0CRPC; risk of inappropriate treatment practices; for enzalutamide, complexity in crafting appropriate restrictions for high-risk m0CRPC patients; neither sponsor provided financial impact estimates.",no,"Patients with castration-resistant prostate cancer (CRPC), specifically consideration of expansion from metastatic (mCRPC) to include non-metastatic (m0CRPC) disease.",Other,Any,,,BIA only,2021,7,yes,
abiraterone-and-methylprednisolone-psd-11-2022.pdf,abiraterone acetate and methylprednisolone,Yonsa® MPRED™,"Treatment of patients with metastatic castration resistant prostate cancer (mCRPC) who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy, or who have received prior chemotherapy containing a taxane.",Oncology,Recommended with restriction,Authority Required,originator abiraterone acetate (OAA) 1000 mg once daily with concomitant prednisone 5 mg twice daily,,,Cost-minimisation basis assessment; no ICER calculated as bioequivalence claimed,no,,,,yes,,,no,"Patients aged ≥18 years with metastatic castration resistant prostate cancer (mCRPC), WHO performance status ≤2, who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy or have received prior taxane-containing chemotherapy",Cost-minimisation,Later-line,,Bioequivalence,Cost-minimisation,2022,11,yes,
abiraterone-and-methylprednisolone-psd-march-2022.pdf,abiraterone acetate and methylprednisolone,Yonsa® MPRED,Treatment of patients with metastatic castration-resistant prostate cancer (mCRPC) aged ≥18 years in combination with a corticosteroid.,Oncology,Recommended with restriction,Authority Required,originator abiraterone acetate (OAA) 1000 mg once daily with prednisolone 5 mg twice daily,,,Cost-minimisation analysis; no ICER calculated as submission based on bioequivalence,no,,,STAAR,no,,,no,"Patients aged ≥18 years with metastatic castration-resistant prostate cancer (mCRPC), WHO performance status ≤2, requiring combination therapy with a corticosteroid",RCT,Any,53,Bioequivalence,Cost-minimisation,2022,3,yes,
abiraterone-enzalutamide-psd-mar-2021.pdf,"abiraterone acetate, enzalutamide","Zytiga, Xtandi",Metastatic castration-resistant prostate cancer (mCRPC) in patients who have failed or are unsuitable for docetaxel treatment (pre-docetaxel setting). Amendment to remove requirement for prior docetaxel failure.,Oncology,Noted,Authority Required,,,,"No ICER calculated; this is a restriction amendment to existing listings, not a new economic submission",no,,2742,,yes,,,no,"Adults with metastatic castration-resistant prostate cancer (mCRPC) who have failed ADT, without requirement for prior docetaxel treatment, WHO performance status ≤2",Cost-minimisation,First-line,,,Cost-minimisation,2021,3,yes,
abiraterone-psd-07-2014.pdf,abiraterone acetate,Zytiga,Metastatic castration-resistant prostate cancer (mCRPC) in asymptomatic patients after treatment failure with androgen deprivation therapy (ADT) but prior to docetaxel treatment.,Oncology,Not recommended,Authority Required,watchful waiting (placebo); docetaxel and best supportive care also considered as potential comparators,,,ICER not stated in this PSD excerpt,no,,,"TAX327, Trial 302",no,,Uncertain clinical place and appropriate comparator; arbitrary PSA threshold of 114 ng/mL lacks clear clinical justification; unclear whether mildly symptomatic patients would be effectively excluded; uncertainty regarding which patients would actually opt for watchful waiting versus docetaxel or BSC,yes,"Adults with metastatic castration-resistant prostate cancer who are asymptomatic (defined as physician-assessed absence of cancer pain, PSA ≤114 ng/mL, ECOG ≤1), have progressed following androgen deprivation therapy, and have not yet received docetaxel",RCT,Second-line,,OS,CUA,2014,7,yes,
abiraterone-psd-july-2017.pdf,abiraterone acetate,Zytiga,"Treatment of metastatic castration-resistant carcinoma of the prostate in combination with a corticosteroid, in patients who have failed or are unsuitable for docetaxel treatment.",Oncology,Recommended with restriction,Authority Required,docetaxel,,,No economic analysis presented as this was a minor submission (additional strength listing only),no,,,,no,0,,no,"Adults with metastatic castration-resistant prostate cancer who have failed or are unsuitable for docetaxel treatment, with WHO performance status ≤2, not previously treated with enzalutamide or with documented intolerance to enzalutamide",Cost-minimisation,Later-line,,,Cost-minimisation,2017,7,yes,
abiraterone-psd-march-2017.pdf,abiraterone acetate,Zytiga®,Treatment of metastatic castration-resistant prostate cancer (mCRPC) in patients who have failed docetaxel or are unsuitable for docetaxel treatment.,Oncology,Recommended with restriction,Authority Required,docetaxel,,,No ICER calculated; this was an amendment to existing listing (change in corticosteroid eligibility) rather than a full economic evaluation.,no,,,,no,,,no,"Adults with metastatic castration-resistant prostate cancer who have failed docetaxel or are unsuitable for docetaxel, with WHO performance status ≤2, and without prior enzalutamide treatment or with documented intolerance to enzalutamide.",Other,Later-line,,,,2017,3,yes,
abrocitinib-psd-nov-2024.pdf,abrocitinib,Cibinqo,Treatment of adult patients with chronic severe atopic dermatitis who are unable to achieve disease control with daily use of topical treatments for at least 28 days.,Immunology,Recommended with restriction,Authority Required,dupilumab,,,Cost-minimisation analysis for abrocitinib 200 mg versus dupilumab; cost-effectiveness analysis for abrocitinib 100 mg versus dupilumab — specific ICER values not provided in extracted text,no,,,,yes,,,no,"Adults aged 18 years or older with chronic severe atopic dermatitis (PGA score ≥4, EASI score ≥20) who are candidates for systemic therapy and have failed to achieve disease control with daily topical corticosteroid or calcineurin inhibitor therapy for at least 28 days.",RCT,Any,,EASI50+DLQI≥4,Cost-minimisation,2024,11,yes,
acalabrutinib-psd-03-2023.pdf,acalabrutinib,Calquence®,Relapsed/refractory chronic lymphocytic leukaemia/small lymphocytic lymphoma (rrCLL/SLL),Haematology,Noted,Restricted,"ibrutinib, venetoclax",,,Cost-minimisation against ibrutinib; no ICER calculated for this submission,yes,"Risk Sharing Arrangement (RSA) with shared expenditure cap for ibrutinib, venetoclax and acalabrutinib for rrCLL/SLL",4500,,no,,,no,Adults with relapsed/refractory chronic lymphocytic leukaemia/small lymphocytic lymphoma (rrCLL/SLL),Cost-minimisation,Later-line,,Cost-minimisation,Cost-minimisation,2023,3,yes,
acalabrutinib-psd-12-2022.pdf,acalabrutinib,Calquence,"Treatment of previously untreated chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL) in patients unsuitable for fludarabine-based chemoimmunotherapy, in combination with obinutuzumab.",Haematology,,Authority Required,venetoclax + obinutuzumab,,,ICER not provided in the extracted text,no,,,"ELEVATE-TN, CLL-14",yes,,,no,"Adults with previously untreated CLL/SLL who are unsuitable for fludarabine-based chemoimmunotherapy, with CIRS score >6 and/or CrCl <70 mL/min, treated with acalabrutinib + obinutuzumab",RCT,First-line,,PFS,CUA,2022,12,yes,
acalabrutinib-psd-july-2020.docx.pdf,acalabrutinib,Calquence®,"Treatment of previously untreated chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL) in patients considered unsuitable for treatment with a purine analogue, or patients with 17p deletion.",Haematology,Recommended with restriction,Authority Required,chlorambucil + obinutuzumab (primary); venetoclax + obinutuzumab (supplementary); ibrutinib (17p deletion population),,,Commercially sensitive pricing information redacted in document,yes,Special pricing arrangement (SPA) proposed with rebate on published price,,ELEVATE-TN,yes,,,no,"Patients with previously untreated CLL or SLL considered unsuitable for treatment with a purine analogue (age ≥65 years, or age 18-64 with comorbidities/renal impairment, or 17p deletion); ECOG performance status ≤2",RCT,First-line,,PFS,CUA,,,yes,
acalabrutinib-psd-july-2021.pdf,acalabrutinib,Calquence,Treatment of patients with relapsed or refractory mantle cell lymphoma (MCL) who have received at least one prior therapy and have a WHO performance status of 0 or 1.,Haematology,Recommended with restriction,Authority Required,ibrutinib,,,Cost-minimisation analysis used; no ICER calculated,no,,,"ACE-LY-004, ACE-LY-308",no,,,no,"Patients with relapsed or refractory mantle cell lymphoma who have received at least one prior therapy, WHO performance status 0-1, BTK inhibitor-naive or with documented intolerance to another BTK inhibitor requiring permanent withdrawal",RCT,Later-line,,ORR,Cost-minimisation,2021,7,yes,
acalabrutinib-psd-july-2023.pdf,acalabrutinib,Calquence®,"Treatment of patients with previously untreated chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL), as monotherapy or in combination with obinutuzumab.",Haematology,,Authority Required,venetoclax in combination with obinutuzumab (VTX+OBIN),,,Cost-minimisation approach used; no ICER calculated,no,,,,yes,,,no,"Patients with previously untreated CLL/SLL who are considered unsuitable for fludarabine-based chemoimmunotherapy, with creatinine clearance ≥30 mL/min and either Cumulative Illness Rating Scale score >6 (excluding CLL-induced illness) or creatinine clearance <70 mL/min",Meta-analysis,First-line,,PFS,Cost-minimisation,2023,7,yes,
acalabrutinib-psd-july-2025.pdf,acalabrutinib,Calquence,"Previously untreated Stage III or IV mantle cell lymphoma in patients ineligible for autologous stem cell transplantation, in combination with bendamustine and rituximab.",Haematology,,Authority Required,bendamustine and rituximab,,,ICER values not stated in extracted text,no,,,ECHO,no,,,no,"Adult patients with previously untreated Stage III or IV mantle cell lymphoma who are ineligible for autologous stem cell transplantation, WHO performance status ≤2",RCT,First-line,,PFS,CEA,2025,7,yes,
acalabrutinib-psd-march-2020.pdf,acalabrutinib,Calquence®,Treatment of patients with relapsed or refractory chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL) considered unsuitable for treatment or retreatment with a purine analogue.,Haematology,Recommended with restriction,Authority Required,ibrutinib,,,Cost-minimisation analysis conducted; no ICER range provided,no,,,,no,,,no,Patients with relapsed or refractory CLL or SLL considered unsuitable for treatment or retreatment with a purine analogue,RCT,Later-line,,PFS,Cost-minimisation,2020,3,yes,
acalabrutinib-psd-nov-2021.pdf,acalabrutinib,Calquence,"Treatment of patients with previously untreated chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL) who are unsuitable for fludarabine-based chemoimmunotherapy and venetoclax + obinutuzumab, or who become intolerant to venetoclax + obinutuzumab.",Haematology,Recommended with restriction,Authority Required,chlorambucil + obinutuzumab,,,ICER values not provided in the text extract; document appears to be truncated,no,,,ELEVATE-TN,yes,,,no,"Previously untreated CLL/SLL patients unsuitable for fludarabine-based chemoimmunotherapy and venetoclax + obinutuzumab (with CIRS >6 and/or renal impairment CrCl ≥30 and <70 ml/min and/or bulky disease ≥5cm and/or moderate/high TLS risk), or those with pre-progression discontinuation of venetoclax + obinutuzumab due to intolerance.",RCT,First-line,,PFS,CUA,2021,11,yes,
acalabrutinib-psd-november-2025.pdf,acalabrutinib,Calquence,Previously untreated chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL) in combination with venetoclax as a fixed duration regimen,Haematology,Recommended with restriction,Authority Required,ibrutinib + venetoclax (IV) and venetoclax + obinutuzumab (VO),,,Cost-minimisation approach used; ICER not calculated,no,,,,no,,,no,Previously untreated patients with chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL) receiving acalabrutinib in combination with venetoclax as a fixed duration regimen (14 cycles),RCT,First-line,,PFS,Cost-minimisation,2025,11,yes,
aciclovir-psd-july-2015%20.pdf,aciclovir,AciVision,Herpes simplex keratitis. Temporary listing as an alternative to Zovirax due to product recall.,Infectious disease,Recommended with restriction,Restricted,aciclovir (Zovirax),,,No economic analysis conducted; cost-minimisation approach — same price as Zovirax comparator.,no,,,,no,0,,no,Patients with Herpes simplex keratitis requiring topical aciclovir eye ointment treatment.,Cost-minimisation,Not applicable,,Cost-minimisation,Cost-minimisation,,,yes,
aciclovir-psd-mar-2021.pdf,aciclovir,Xorox,"Treatment of Herpes simplex keratitis (HSK). A new generic brand of aciclovir 3% eye ointment requested for listing under the same conditions as the current Section 19A approved product, AciVision.",Infectious disease,Recommended with restriction,Restricted,AciVision (current PBS-listed aciclovir eye ointment),,,Cost-minimisation comparison; no ICER calculated as this is a bioequivalent generic listing,no,,,,no,,,yes,"Patients requiring treatment for Herpes simplex keratitis (HSK); eligible prescribers include medical practitioners, nurse practitioners (under shared care arrangements), and optometrists",Bioequivalence,Not applicable,,Bioequivalence to Zovirax,Cost-minimisation,2021,3,yes,
aclidinium-psd-03-2014.pdf,aclidinium bromide,Bretaris® Genuair®,Long-term maintenance bronchodilator treatment to relieve symptoms in adult patients with chronic obstructive pulmonary disease (COPD).,Respiratory,Recommended with restriction,Restricted,tiotropium,,,Cost-minimisation basis — no ICER calculated,no,,,"LAS-39, ACCORD, ATTAIN, ACCORD II",no,,,no,"Adult patients with stable moderate to severe COPD, for use as monotherapy, in combination with a LABA, or in combination with a LABA and ICS, with no FEV1 cut-off restriction.",RCT,Any,414,PFS,Cost-minimisation,2014,3,yes,
aclidinium-with-eformoterol-psd-july-2015.pdf,aclidinium bromide plus eformoterol fumarate dihydrate,Brimica® Genuair®,Treatment of chronic obstructive pulmonary disease (COPD) as a maintenance bronchodilator combination therapy in patients stabilised on long-acting muscarinic antagonist and long-acting beta-2 agonist combination.,Respiratory,Recommended with restriction,Restricted,glycopyrronium/indacaterol fixed-dose combination and umeclidinium/vilanterol fixed-dose combination,,,Cost-minimisation analysis conducted; no ICER reported,no,,,"ACLIFORM, AUGMENT, SHINE, ENLIGHTEN, Donohue (2013)",no,,,no,"Adults with stable COPD, moderate to severe disease, previously stabilised on combination of long-acting muscarinic antagonist and long-acting beta-2 agonist",RCT,Any,1254,Trough FEV1,Cost-minimisation,2015,7,yes,
adalimumab-amgevita-psd-july-2018.pdf,adalimumab,Amgevita,"Multiple indications including severe active rheumatoid arthritis, severe psoriatic arthritis, ankylosing spondylitis, severe chronic plaque psoriasis, juvenile idiopathic arthritis, severe Crohn disease, refractory fistulising Crohn disease, moderate to severe ulcerative colitis, and moderate to severe hidradenitis suppurativa.",Immunology,Recommended with restriction,Restricted,Humira (reference brand adalimumab),,,Not applicable — biosimilar submission; economic comparison not required.,no,,,Study 262 (ABP 501),no,,,yes,"Adults with severe active rheumatoid arthritis, severe psoriatic arthritis, ankylosing spondylitis, severe chronic plaque psoriasis, juvenile idiopathic arthritis, severe Crohn disease, refractory fistulising Crohn disease, moderate to severe ulcerative colitis, and moderate to severe hidradenitis suppurativa; paediatric patients with juvenile idiopathic arthritis.",RCT,Not applicable,,Other,Cost-minimisation,2018,7,yes,
adalimumab-hadlima-psd-july-2018.pdf,adalimumab,Hadlima®,Rheumatoid arthritis in patients for whom the reference biological (Humira®) is currently PBS listed.,Immunology,Recommended with restriction,Authority Required,Humira® (reference biological),,,No economic evaluation conducted; biosimilar submission with pricing based on reference brand.,no,,,"Phase 3 randomised, double-blind, parallel group, multicentre clinical trial",no,,,yes,Adults with moderate to severe rheumatoid arthritis despite methotrexate therapy,RCT,Any,254,ACR20,Cost-minimisation,2018,7,yes,
adalimumab-hadlima-psd-nov-2020.pdf,adalimumab,Hadlima,"Multiple indications including severe active rheumatoid arthritis, ankylosing spondylitis, psoriatic arthritis, severe chronic plaque psoriasis, severe Crohn disease, ulcerative colitis, and severe active juvenile idiopathic arthritis. This submission concerns additional uptake drivers for the biosimilar formulation.",Immunology,Noted,Restricted,"Humira (reference adalimumab); other adalimumab biosimilars (Amgevita, Hyrimoz)",,,Not applicable — this is a minor submission regarding uptake drivers for an already-listed biosimilar; no new economic modelling presented,no,,,,yes,,,no,"bDMARD-naïve and treatment-experienced patients with approved indications (rheumatoid arthritis, ankylosing spondylitis, psoriatic arthritis, chronic plaque psoriasis, Crohn disease, ulcerative colitis, juvenile idiopathic arthritis)",Registry,First-line,,,Cost-minimisation,2020,11,yes,
adalimumab-hulio-psd-nov-2021.pdf,adalimumab,Hulio,"Multiple autoimmune and inflammatory conditions including severe Crohn disease, moderate to severe ulcerative colitis, severe active juvenile idiopathic arthritis, complex refractory fistulising Crohn disease, severe active rheumatoid arthritis, severe psoriatic arthritis, ankylosing spondylitis, severe chronic plaque psoriasis, and moderate to severe hidradenitis suppurativa.",Immunology,Recommended with restriction,Authority Required,Humira (adalimumab reference brand),,,No economic analysis presented; Category 3 submission — cost-minimisation to Humira assumed,no,,,"FKB327-001, FKB327-002, FKB327-003, FKB321-005",no,,,yes,"Adults and children with severe autoimmune and inflammatory conditions (Crohn disease, ulcerative colitis, juvenile idiopathic arthritis, rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, chronic plaque psoriasis, hidradenitis suppurativa) as indicated for Humira reference brand",RCT,Not applicable,645,Safety,Cost-minimisation,2021,11,yes,
adalimumab-humira-psd-july-2018-corrigendum.pdf,adalimumab,Humira®,"New formulations (20 mg/0.2 mL and 80 mg/0.8 mL) for treatment of severe Crohn's disease, moderate to severe ulcerative colitis, severe active juvenile idiopathic arthritis, fistulising Crohn's disease, moderate to severe hidradenitis suppurativa, and chronic severe plaque psoriasis.",Immunology,Recommended with restriction,Authority Required,adalimumab 20 mg/0.4 mL PFS (for 20 mg/0.2 mL strength) and adalimumab 40 mg/0.8 mL PFS and cartridges (for 80 mg/0.8 mL strength),,,No economic analysis presented; minor submission with no new clinical or economic comparison,no,,,,no,0,,no,"Patients with severe Crohn's disease, moderate to severe ulcerative colitis, severe active juvenile idiopathic arthritis, fistulising Crohn's disease, moderate to severe hidradenitis suppurativa, and chronic severe plaque psoriasis",Cost-minimisation,Not applicable,,Cost-minimisation,Cost-minimisation,,,yes,
adalimumab-humira-psd-nov-2021.pdf,adalimumab,Humira®,Induction dose for patients weighing less than 40 kg with moderate to severe ulcerative colitis or severe Crohn disease,Immunology,Recommended with restriction,Authority Required,two adalimumab 40 mg injections via pre-filled syringe,,,Category 4 submission; no economic comparison presented,no,,,,no,0,,no,Patients weighing less than 40 kg with moderate to severe ulcerative colitis or severe Crohn disease requiring an 80 mg induction dose,Cost-minimisation,First-line,,Cost-minimisation,Cost-minimisation,2021,11,yes,
adalimumab-idacio-psd-nov-2020.pdf,adalimumab,Idacio,"Multiple indications including severe Crohn disease, moderate to severe ulcerative colitis, severe active juvenile idiopathic arthritis, complex refractory fistulising Crohn disease, severe active rheumatoid arthritis, severe psoriatic arthritis, ankylosing spondylitis, severe chronic plaque psoriasis, and moderate to severe hidradenitis suppurativa.",Immunology,Recommended with restriction,Authority Required,Humira (reference brand adalimumab),,,Cost-minimisation basis; no ICER calculated,no,,,"EMR200588-001, EMR200588-002",no,0,,yes,"Patients with severe Crohn disease, moderate to severe ulcerative colitis, severe active juvenile idiopathic arthritis, complex refractory fistulising Crohn disease, severe active rheumatoid arthritis, severe psoriatic arthritis, ankylosing spondylitis, severe chronic plaque psoriasis, and moderate to severe hidradenitis suppurativa; includes paediatric patients with certain conditions requiring dosing less than 40 mg",RCT,Not applicable,680,PFS,Cost-minimisation,2020,11,yes,
